2019,id,count,family
0.5576096655316323,lol,12263438,lol
0.15520164897063013,haha,3413330,ha
0.1268765625517213,lmao,2790380,acronym
0.03056794947017379,hahaha,672277,ha
0.02913885007833447,hahhahahaa,640847,ha
0.026652089822557054,ha,586156,ha
0.013537386113100645,lmfao,297726,acronym
0.008860598106513783,hehe,194870,other
0.007731732354009972,heh,170043,other
0.006854629991026183,hah,150753,ha
0.006184321902114467,hahah,136011,ha
0.00410673967456365,bahaha,90319,other
0.0034246550427793152,lolol,75318,lol
0.0031525668862165887,ha ha,69334,ha
0.0024200113564067484,lool,53223,lol
0.002052028493595561,jaja,45130,other
0.0020459810796880007,hehehe,44997,other
0.0019790048339298296,ded,43524,text
0.0018881572174839192,rofl,41526,acronym
0.0012519056174200441,lel,27533,lol
0.0011641953811216653,lulz,25604,lol
0.0008562774338885799,kiki,18832,other
0.0008077617147955937,i’m laughing,17765,text
0.0007491518160975065,ha ha ha,16476,ha
0.000685222011931866,heheh,15070,other
0.0005631370018431426,can’t stop laughing,12385,text
0.0005086648073975968,haaah,11187,ha
0.000430639527206815,mwahah,9471,other
0.00039517349075645963,teehee,8691,other
0.00039176329494392545,muahaha,8616,other
0.00029909690739799696,ha ha ha ha,6578,ha
0.00028259155966533155,huehue,6215,other
0.00020879492228209214,haa,4592,ha
0.00020283844692953244,lawl,4461,lol
0.0001525039567365281,keke,3354,other
0.00013217918969382443,roflmao,2907,acronym
0.00010689827140357112,luls,2351,lol
0.00009921396350599412,buhaha,2182,other
0.00008411816337584287,sksksk,1850,other
0.00006356604994563694,l0l,1398,lol
0.00005833708303308454,lawlz,1283,lol
0.00004492364617045014,i chortled,988,text
0.00003228318702532348,pmsl,710,acronym
0.00003173755569531801,i’m actually laughing,698,text
0.000028054544217781106,ctfu,617,acronym
0.000016187062790162195,i literally loled,356,text
0.00001477751518764807,huahua,325,other
0.000014459230245144881,eksdee,318,other
0.000013640783250136681,lelel,300,lol
0.000010366995270103878,i actually burst out laughing,228,text
0.00000641116812756424,my stomach hurts from laughing,141,text
0.000004410519917544194,muehehe,97,other
0.0000013186090475132125,dehd,29,text
0.000001273139770012757,lolle,28,lol
7.275084400072896e-7,i’m literally cracking up,16,text
3.637542200036448e-7,that’s so jokes,8,text
1.364078325013668e-7,actulol,3,lol
1.364078325013668e-7,you just mad eme laugh like an idiot,3,text
9.09385550009112e-8,qltm,2,acronym
9.09385550009112e-8,that’s literally so funny,2,text
