id,family,count_2009,share_2009,count_2010,share_2010,count_2011,share_2011,count_2012,share_2012,count_2013,share_2013,count_2014,share_2014,count_2015,share_2015,count_2016,share_2016,count_2017,share_2017,count_2018,share_2018,count_2019,share_2019
lol,lol,63719,0.29153474,241274,0.33467189,882509,0.38820084,2083298,0.39771143,3281948,0.41044662,5020118,0.43762481,7548949,0.47476323,10467043,0.51682389,15189198,0.54439708,21404140,0.55932389,12263438,0.55970591
haha,ha,50889,0.23283340,196208,0.27216070,647712,0.28491759,1629267,0.31103477,2507590,0.31360394,3349881,0.29202322,4059995,0.25533837,4445584,0.21950650,5328650,0.19098451,6502422,0.16991853,3413330,0.15578510
ha,ha,20930,0.09576142,56167,0.07790941,139746,0.06147191,301229,0.05750604,463033,0.05790778,647988,0.05648784,813667,0.05117258,841035,0.04152720,955275,0.03423808,1131222,0.02956061,586156,0.02675228
heh,other,20283,0.09280119,45803,0.06353348,98599,0.04337204,177181,0.03382469,244618,0.03059239,314737,0.02743695,366573,0.02305425,366292,0.01808614,362392,0.01298852,365398,0.00954843,170043,0.00776080
haahahha,ha,11282,0.05161875,33157,0.04599217,94499,0.04156852,195952,0.03740816,276116,0.03453159,371280,0.03236604,471774,0.02967048,591297,0.02919606,842984,0.03021345,1045384,0.02731753,558478,0.02548905
hahaha,ha,11098,0.05077689,37041,0.05137968,118369,0.05206853,271260,0.05178482,381512,0.04771261,511807,0.04461637,635822,0.03998767,738277,0.03645339,957848,0.03433030,1205741,0.03150791,672277,0.03068286
hah,ha,8840,0.04044582,25409,0.03524490,61711,0.02714563,128889,0.02460552,178680,0.02234606,211894,0.01847169,247544,0.01556836,258246,0.01275123,277626,0.00995041,302927,0.00791596,150753,0.00688040
hehe,other,6847,0.03132721,18592,0.02578902,42935,0.01888638,87509,0.01670588,133996,0.01675779,180379,0.01572440,209152,0.01315384,229690,0.01134124,265861,0.00952874,324414,0.00847745,194870,0.00889391
ha ha,ha,6148,0.02812906,13397,0.01858302,27305,0.01201101,50370,0.00961587,67225,0.00840729,86151,0.00751015,104345,0.00656239,118664,0.00585919,142049,0.00509119,178563,0.00466613,69334,0.00316442
bahaha,other,5368,0.02456031,14030,0.01946106,31301,0.01376878,54701,0.01044268,69759,0.00872419,83679,0.00729465,109454,0.00688370,124060,0.00612562,159135,0.00570357,180685,0.00472158,90319,0.00412218
lulz,lol,4803,0.02197526,11879,0.01647740,31549,0.01387787,38483,0.00734659,33668,0.00421058,36784,0.00320662,44008,0.00276772,51407,0.00253829,60470,0.00216731,58175,0.00152020,25604,0.00116857
hahah,ha,2275,0.01040885,8031,0.01113982,25078,0.01103139,56743,0.01083251,79167,0.00990077,105697,0.00921405,129615,0.00815166,147435,0.00727980,183075,0.00656160,235213,0.00614649,136011,0.00620757
lmao,acronym,1596,0.00730221,5976,0.00828933,23776,0.01045866,58715,0.01120897,100543,0.01257410,257389,0.02243768,701619,0.04412573,1283686,0.06338367,2364975,0.08476323,4215283,0.11015198,2790380,0.12735353
hehehe,other,1536,0.00702769,4356,0.00604222,10128,0.00445514,20678,0.00394753,37892,0.00473885,52608,0.00458606,52745,0.00331720,51591,0.00254737,67415,0.00241623,82043,0.00214391,44997,0.00205367
rofl,acronym,1404,0.00642375,3974,0.00551235,12656,0.00556716,22143,0.00422720,28918,0.00361654,45280,0.00394725,80537,0.00506508,91298,0.00450796,89622,0.00321215,93936,0.00245470,41526,0.00189526
lolol,lol,671,0.00307004,2729,0.00378540,13081,0.00575411,27287,0.00520922,31833,0.00398110,41822,0.00364580,59647,0.00375128,77346,0.00381906,109187,0.00391338,137442,0.00359158,75318,0.00343753
lmfao,acronym,322,0.00147325,1133,0.00157159,5263,0.00231511,13991,0.00267095,21997,0.00275099,42605,0.00371406,93584,0.00588562,166908,0.00824130,282716,0.01013284,473766,0.01238025,297726,0.01358828
jaja,other,243,0.00111180,891,0.00123591,3265,0.00143622,8626,0.00164674,10276,0.00128514,20426,0.00178062,36545,0.00229836,40843,0.00201668,52696,0.00188868,81502,0.00212978,45130,0.00205974
ded,text,152,0.00069545,305,0.00042307,974,0.00042845,2701,0.00051563,6893,0.00086205,17553,0.00153017,33512,0.00210761,48477,0.00239362,71011,0.00254511,92622,0.00242036,43524,0.00198644
lool,lol,147,0.00067257,537,0.00074487,2804,0.00123343,5945,0.00113493,8817,0.00110267,15246,0.00132906,26904,0.00169203,38707,0.00191121,63326,0.00226967,94034,0.00245726,53223,0.00242911
lel,lol,11,0.00005033,38,0.00005271,71,0.00003123,3247,0.00061987,31560,0.00394695,57959,0.00505253,74459,0.00468282,74744,0.00369058,75443,0.00270396,62969,0.00164548,27533,0.00125661
kiki,other,,,,,,,,,,,,,,,,,,,,,18832,0.00085950
i’m laughing,text,,,,,,,,,,,,,,,,,,,,,17765,0.00081080
ha ha ha,ha,,,,,,,,,,,,,,,,,,,,,16476,0.00075197
heheh,other,,,,,,,,,,,,,,,,,,,,,15070,0.00068780
can’t stop laughing,text,,,,,,,,,,,,,,,,,,,,,12385,0.00056525
haaah,ha,,,,,,,,,,,,,,,,,,,,,11187,0.00051058
mwahah,other,,,,,,,,,,,,,,,,,,,,,9471,0.00043226
teehee,other,,,,,,,,,,,,,,,,,,,,,8691,0.00039666
muahaha,other,,,,,,,,,,,,,,,,,,,,,8616,0.00039324
ha ha ha ha,ha,,,,,,,,,,,,,,,,,,,,,6578,0.00030022
huehue,other,,,,,,,,,,,,,,,,,,,,,6215,0.00028365
haa,ha,,,,,,,,,,,,,,,,,,,,,4592,0.00020958
lawl,lol,,,,,,,,,,,,,,,,,,,,,4461,0.00020360
keke,other,,,,,,,,,,,,,,,,,,,,,3354,0.00015308
roflmao,acronym,,,,,,,,,,,,,,,,,,,,,2907,0.00013268
luls,lol,,,,,,,,,,,,,,,,,,,,,2351,0.00010730
buhaha,other,,,,,,,,,,,,,,,,,,,,,2182,0.00009959
sksksk,other,,,,,,,,,,,,,,,,,,,,,1850,0.00008443
l0l,lol,,,,,,,,,,,,,,,,,,,,,1398,0.00006381
lawlz,lol,,,,,,,,,,,,,,,,,,,,,1283,0.00005856
i chortled,text,,,,,,,,,,,,,,,,,,,,,988,0.00004509
pmsl,acronym,,,,,,,,,,,,,,,,,,,,,710,0.00003240
i’m actually laughing,text,,,,,,,,,,,,,,,,,,,,,698,0.00003186
ctfu,acronym,,,,,,,,,,,,,,,,,,,,,617,0.00002816
i literally loled,text,,,,,,,,,,,,,,,,,,,,,356,0.00001625
huahua,other,,,,,,,,,,,,,,,,,,,,,325,0.00001483
eksdee,other,,,,,,,,,,,,,,,,,,,,,318,0.00001451
lelel,lol,,,,,,,,,,,,,,,,,,,,,300,0.00001369
i actually burst out laughing,text,,,,,,,,,,,,,,,,,,,,,228,0.00001041
my stomach hurts from laughing,text,,,,,,,,,,,,,,,,,,,,,141,0.00000644
muehehe,other,,,,,,,,,,,,,,,,,,,,,97,0.00000443
dehd,text,,,,,,,,,,,,,,,,,,,,,29,0.00000132
lolle,lol,,,,,,,,,,,,,,,,,,,,,28,0.00000128
i’m literally cracking up,text,,,,,,,,,,,,,,,,,,,,,16,0.00000073
that’s so jokes,text,,,,,,,,,,,,,,,,,,,,,8,0.00000037
actulol,lol,,,,,,,,,,,,,,,,,,,,,3,0.00000014
you just mad eme laugh like an idiot,text,,,,,,,,,,,,,,,,,,,,,3,0.00000014
qltm,acronym,,,,,,,,,,,,,,,,,,,,,2,0.00000009
that’s literally so funny,text,,,,,,,,,,,,,,,,,,,,,2,0.00000009
